name,description,address,postal_code
Temasek Polytechnic,Public Development Shelter,"Temasek Polytechnic, 21 Tampines Ave 1,  Singapore 529757",529757
Construction Industry Training Institute,Public Development Shelter,"Construction Industry Training Institute, 200 Braddell Road,  Singapore 5797",579700
ITE - Bishan,Public Development Shelter,"ITE - Bishan, 21 Bishan Street 14,  Singapore 579781",579781
Revenue House,Public Development Shelter,"Revenue House, 55 Newton Road ,  Singapore 307987",307987
Nanyang Polytechnic,Public Development Shelter,"Nanyang Polytechnic, 180 Ang Mo Kio Ave 8,  Singapore 569830",569830
The Atrium @ Orchard carpark,Public Development Shelter,"The Atrium @ Orchard carpark , 60 Orchard Road ,  Singapore 238889",238889
Institute of Public Administration and Management,Public Development Shelter,"Institute of Public Administration and Management , 31 North Buona Vista Road,  Singapore 275983",275983
Fusionopolis (One North -carpark ),Public Development Shelter,"Fusionopolis, 11 Ayer Rajah Avenue,  Singapore 138666",138636
Bukit Batok CC,Community Centre CD Shelter,"21 Bukit Batok Central,  Singapore 659959",659959
Bukit Panjang CC,Community Centre CD Shelter,"8 Pending Rd,  Singapore 678295",678295
Choa Chu Kang CC,Community Centre CD Shelter,"35 Teck Whye Ave,  Singapore 688892",688892
Jurong Green CC,Community Centre CD Shelter,"6 Jurong West Ave 1,  Singapore 649520",649520
Hong Kah North CC,Community Centre CD Shelter,"30 Bukit Batok Street 31,  Singapore 659440",659440
Nee Soon East CC,Community Centre CD Shelter,"1 Yishun Ave 9,  Singapore 768893",768893
Punggol CC,Community Centre CD Shelter,"3 Hougang Ave 6,  Singapore 538808",538808
Tampines East CC,Community Centre CD Shelter,"10 Tampines Street 23,  Singapore 529341",529341
Tampines West CC,Community Centre CD Shelter,"10 Tampines Street 81 ,  Singapore 529014",529014
Ang Mo Kio CC,Community Centre CD Shelter,"795 Ang Mo Kio Ave 1,  Singapore 569976",569976
Teck Ghee CC,Community Centre CD Shelter,"861 Ang Mo Kio Ave 10,  Singapore 569734",569734
Telok Blangah CC,Community Centre CD Shelter,"450 Telok Blangah Street 31,  Singapore 108943",108943
Nanyang CC,Community Centre CD Shelter,"60 Jurong West Street 91,  Singapore 649040",649040
Bishan CC,Community Centre CD Shelter,"51 Bishan Street 13,  Singapore 579799",579799
Marine Parade CC,Community Centre CD Shelter,"278 Marine Parade Road,  Singapore 449282",449282
Ulu Pandan CC,Community Centre CD Shelter,"170, Ghim Moh Road,  Singapore 279621",279621
Toa Payoh West CC,Community Centre CD Shelter,"200 Lorong 2 Toa Payoh,  Singapore 319642",319642
Zheng Hua CC,Community Centre CD Shelter,"1 Segar Road ,  Singapore 677738",677738
Pasir Ris Elias CC,Community Centre CD Shelter,"93 Pasir Ris Drive 3 ,  Singapore 519498",519498
Braddell (North- South Line),MRT Shelter,"377 LORONG 1 TOA PAYOH, BRADDELL MRT STATION,  Singapore 3197",319756
Newton (NSL),MRT Shelter,"49 Scotts Road,  Singapore 2282",228234
Somerset (NSL),MRT Shelter,"1 SOMERSET ROAD, SOMERSET MRT STATION,  Singapore 2381",238162
Raffles Place (NSL),MRT Shelter,"5 RAFFLES PLACE, RAFFLES PLACE MRT STATION,  Singapore 0486",48618
City Hall (NSL),MRT Shelter,"150 NORTH BRIDGE ROAD, CITY HALL MRT STATION,  Singapore 1791",179100
Tiong Bahru (East-West Line),MRT Shelter,"300 TIONG BAHRU ROAD, TIONG BAHRU MRT STATION,  Singapore 1687",168731
Bugis (EWL),MRT Shelter,"220 VICTORIA STREET, BUGIS MRT STATION,  Singapore 1880",188022
Lavender (EWL),MRT Shelter,"50 KALLANG ROAD, LAVENDER MRT STATION,  Singapore 2086",208699
Marina Bay (NSL),MRT Shelter,"21 PARK STREET, MARINA BAY MRT STATION,  Singapore 0189",18925
Buangkok (North-East Line),MRT Shelter,"10 SENGKANG CENTRAL, BUANGKOK MRT STATION,  Singapore 5450",545061
Hougang (NEL),MRT Shelter,"80 HOUGANG CENTRAL, HOUGANG MRT STATION,  Singapore 5387",538758
Kovan (NEL),MRT Shelter,"900 UPPER SERANGOON ROAD, KOVAN MRT STATION,  Singapore 5347",534799
Serangoon (NEL),MRT Shelter,"21 SERANGOON CENTRAL, SERANGOON MRT STATION,  Singapore 5560",556082
Woodleigh (NEL),MRT Shelter,"400 UPPER SERANGOON ROAD, WOODLEIGH MRT STATION,  Singapore 3476",347695
Potong Pasir (NEL),MRT Shelter,"55 UPPER SERANGOON ROAD, POTONG PASIR MRT STATION,  Singapore 3476",347694
Boon Keng (NEL),MRT Shelter,"900 SERANGOON ROAD, BOON KENG MRT STATION,  Singapore 3282",328260
Farrer Park (NEL),MRT Shelter,"250 RACE COURSE ROAD, FARRER PARK MRT STATION,  Singapore 2187",218703
Little India (NEL),MRT Shelter,"60 Bukit Timah Road,  Singapore 2299",229900
Clarke Quay (NEL),MRT Shelter,"10 EU TONG SEN STREET, CLARKE QUAY MRT STATION,  Singapore 0598",59815
Chinatown (NEL),MRT Shelter,"151 NEW BRIDGE ROAD, CHINATOWN MRT STATION,  Singapore 0594",59443
Outram Park (NEL),MRT Shelter,"300 EU TONG SEN STREET, OUTRAM PARK MRT STATION,  Singapore 0598",59816
Habourfront (NEL),MRT Shelter,"81 TELOK BLANGAH ROAD, HARBOURFRONT MRT STATION,  Singapore 0988",98867
Bartley (Circle Line),MRT Shelter,"90 BARTLEY ROAD, BARTLEY MRT STATION,  Singapore 5397",539788
Lorong Chuan (CCL),MRT Shelter,"150 SERANGOON AVENUE 3, LORONG CHUAN MRT STATION,  Singapore 5545",554533
Bishan (CCL),MRT Shelter,"200 BISHAN ROAD, BISHAN MRT STATION,  Singapore 5798",579827
Mountbatten (CCL),MRT Shelter,"301 MOUNTBATTEN ROAD, MOUNTBATTEN MRT STATION,  Singapore 3980",398006
Dakota (CCL),MRT Shelter,"201 OLD AIRPORT ROAD, DAKOTA MRT STATION,  Singapore 3979",397973
Macpherson (CCL),MRT Shelter,"10 CIRCUIT LINK, MACPHERSON MRT STATION,  Singapore 3789",378956
Caldecott (CCL),MRT Shelter,"38 TOA PAYOH RISE, CALDECOTT MRT STATION,  Singapore 2981",298113
